city	landmark	address
Paris	Arc de Triomphe	Place Charles de Gaulle, 75008 Paris, France
Paris	Catacombs	1 Avenue du Colonel Henri Rol-Tanguy, 75014 Paris, France
Paris	Tour Eiffel	Champ de Mars, 5 Avenue Anatole France, 75007 Paris, France
Paris	Cathédrale Notre-Dame de Paris	6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France
Paris	Opera Garnier	8 Rue Scribe, 75009 Paris, France
Paris	Pantheon	Place du Panthéon, 75005 Paris, France
Paris	Père Lachaise Cemetery	16 Rue du Repos, 75020 Paris, France
Paris	Sacré Coeur	35 Rue du Chevalier de la Barre, 75018 Paris, France
Paris	Sainte-Chapelle	8 Boulevard du Palais, 75001 Paris, France
Paris	Place de la République	Place de la République, Paris, France
Paris	The Louvre	Louvre Museum, 75001 Paris, France
Paris	Musée d’Orsay	1 Rue de la Légion d’Honneur, 75007 Paris, France
Paris	Rodin Museum	79 Rue de Varenne, 75007 Paris, France
Paris	Picasso National Museum	5 Rue de Thorigny, 75003 Paris, France
Paris	Musée Marmottan Monet	2 Rue Louis Boilly, Paris, France
Paris	Orangerie Museum	Jardin Tuileries, 75001 Paris, France
Paris	Musée National Eugène Delacroix	6 Rue de Furstenberg, 75006 Paris, France
Paris	The Centre Pompidou	Place Georges-Pompidou, 75004 Paris, France
Paris	Les Invalides	129 Rue de Grenelle, 75007 Paris, France
Paris	Cluny	6 Place Paul Painlevé, 75005 Paris, France
Paris	Decorative Arts Museum	107 Rue de Rivoli, 75001 Paris, France
Paris	Carnavalet	16 Rue des Francs Bourgeois, 75003 Paris, France
Paris	City of Science and Industry	30 Avenue Corentin Cariou, 75019 Paris, France
Paris	Mémorial de la Shoah	17 Rue Geoffroy l’Asnier, 75004 Paris, France
Paris	Musée Jacquemart-André	158 Boulevard Haussmann, 75008 Paris, France
Paris	Musée de quai Branly	37 Quai Branly, 75007 Paris, France
Berlin	Kulturforum	Matthäikirchplatz, 10785 Berlin, Germany
Berlin	Museen Charlottenburg	Schloßstraße 55, 14059 Berlin, Germany
Berlin	Museen Dahlem	Lansstraße 8, 14195 Berlin, Germany
Berlin	Deutsches Historisches Museum	Unter den Linden 2, 10117 Berlin, Germany
Berlin	Museum für Naturkunde	Invalidenstraße 43, 10115 Berlin, Germany
Berlin	Hamburger Bahnhof Museum für Gegenwart	Invalidenstraße 50-51, 10557 Berlin, Germany
Berlin	Jüdisches Museum	Lindenstraße 9-14, 10969 Berlin, Germany
Berlin	Berlinische Galerie	Alte Jakobstraße 124-128, 10969 Berlin, Germany
Berlin	Technikmuseum	Trebbiner Str. 9, 10963 Berlin, Germany
Berlin	Mauermuseum at Checkpoint Charlie	Friedrichstraße 43-45, 10969 Berlin, Germany
Berlin	Topography of Terror	Niederkirchnerstraße 8, 10963 Berlin, Germany
Berlin	DDR Museum	Karl-Liebknecht-Str. 1, 10178 Berlin, Germany
Berlin	Story of Berline	Kurfürstendamm 207, 10719 Berlin, Germany
Berlin	Stasi Museum	Haus 1, Ruschestraße 103, 10365 Berlin, Germany
Berlin	Eigen + Art	Auguststraße 26, 10117 Berlin, Germany
Berlin	loop -- raum fur aktuelle kunst	Jägerstrasse 5, 10117 Berlin, Germany
Berlin	Berliner Dom	Am Lustgarten, 10178 Berlin, Germany
Berlin	Kaiser Wilhelm Gedächtniskirche	Breitscheidplatz, 10789 Berlin, Germany
Berlin	Deutscher Dom	Gendarmenmarkt 1-2, 10117 Berlin, Germany
Berlin	Französischer Dom	Gendarmenmarkt 1-5, 10117 Berlin, Germany
Berlin	Marienkirche	Karl-Liebknecht-Str. 8, 10178 Berlin, Germany
Berlin	Nikolaikirche	Nikolaikirchplatz, 10178 Berlin, Germany
Berlin	St. Hedwigs Kathedrale	Hinter der Katholischen Kirche 3, 10117 Berlin, Germany
Berlin	New Synagogue	Oranienburger Str. 28-30, 10117 Berlin, Germany
