"city"	"landmark"	"address"	"longitude"	"latitude"
"1"	"Paris"	"Arc de Triomphe"	"Place Charles de Gaulle, 75008 Paris, France"	2.2959091	48.8737573
"2"	"Paris"	"Catacombs"	"1 Avenue du Colonel Henri Rol-Tanguy, 75014 Paris, France"	2.3324228	48.8338325
"3"	"Paris"	"Tour Eiffel"	"Champ de Mars, 5 Avenue Anatole France, 75007 Paris, France"	2.2944861	48.8588871
"4"	"Paris"	"Cathédrale Notre-Dame de Paris"	"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France"	2.3492923	48.85267
"5"	"Paris"	"Opera Garnier"	"8 Rue Scribe, 75009 Paris, France"	2.3317433	48.8720223
"6"	"Paris"	"Pantheon"	"Place du Panthéon, 75005 Paris, France"	2.3463884	48.8467002
"7"	"Paris"	"Père Lachaise Cemetery"	"16 Rue du Repos, 75020 Paris, France"	2.3908664	48.8600238
"8"	"Paris"	"Sacré Coeur"	"35 Rue du Chevalier de la Barre, 75018 Paris, France"	2.3430419	48.8867524
"9"	"Paris"	"Sainte-Chapelle"	"8 Boulevard du Palais, 75001 Paris, France"	2.345338	48.8550408
"10"	"Paris"	"Place de la République"	"Place de la République, Paris, France"	2.3634673	48.8672991
"11"	"Paris"	"The Louvre"	"Louvre Museum, 75001 Paris, France"	2.3310526	48.8640493
"12"	"Paris"	"Musée d’Orsay"	"1 Rue de la Légion d’Honneur, 75007 Paris, France"	2.3259283	48.8601978
"13"	"Paris"	"Rodin Museum"	"79 Rue de Varenne, 75007 Paris, France"	2.3159636	48.8553375
"14"	"Paris"	"Picasso National Museum"	"5 Rue de Thorigny, 75003 Paris, France"	2.3624103	48.8596829
"15"	"Paris"	"Musée Marmottan Monet"	"2 Rue Louis Boilly, Paris, France"	2.267221	48.8592264
"16"	"Paris"	"Orangerie Museum"	"Jardin Tuileries, 75001 Paris, France"	2.3252606	48.8638608
"17"	"Paris"	"Musée National Eugène Delacroix"	"6 Rue de Furstenberg, 75006 Paris, France"	2.3356553	48.8544106
"18"	"Paris"	"The Centre Pompidou"	"Place Georges-Pompidou, 75004 Paris, France"	2.3516748	48.860642
"19"	"Paris"	"Les Invalides"	"129 Rue de Grenelle, 75007 Paris, France"	2.3125434	48.8559349
"20"	"Paris"	"Cluny"	"6 Place Paul Painlevé, 75005 Paris, France"	2.3439212	48.8503245
"21"	"Paris"	"Decorative Arts Museum"	"107 Rue de Rivoli, 75001 Paris, France"	2.333307	48.863091
"22"	"Paris"	"Carnavalet"	"16 Rue des Francs Bourgeois, 75003 Paris, France"	2.3621482	48.8571611
"23"	"Paris"	"City of Science and Industry"	"30 Avenue Corentin Cariou, 75019 Paris, France"	2.3876555	48.895639
