city	location	station	line	opened
Barcelona	Barelona, Spain	Aeroport T1 Station	L9	NA/NA/2016
Barcelona	Barelona, Spain	Aeroport T2 Station	L9	NA/NA/2016
Barcelona	Barelona, Spain	Alfons X	L4	NA/NA/1974
Barcelona	Barelona, Spain	Almeda	L8	NA/NA/1985
Barcelona	Barelona, Spain	Arc de Triomf	L1	NA/NA/1932
Barcelona	Barelona, Spain	Artigues-Sant Adrià	L2	NA/NA/1985
Barcelona	Barelona, Spain	Avinguda Carrilet	L1, L8	NA/NA/1987
Barcelona	Barelona, Spain	Avinguda Tibidabo	L7	NA/NA/1953
Barcelona	Barelona, Spain	Bac de Roda	L2	NA/NA/1997
Barcelona	Barelona, Spain	Badal	L5	NA/NA/1969
Barcelona	Barelona, Spain	Badalona Pompeu Fabra	L2	NA/NA/2010
Barcelona	Barelona, Spain	Barceloneta	L4	NA/NA/1976
Barcelona	Barelona, Spain	Baró de Viver	L1	NA/NA/1983
Barcelona	Barelona, Spain	Bellvitge	L1	NA/NA/1989
Barcelona	Barelona, Spain	Besòs	L4	NA/NA/1982
Barcelona	Barelona, Spain	Besòs Mar	L4	NA/NA/1982
Barcelona	Barelona, Spain	Bogatell	L4	NA/NA/1977
Barcelona	Barelona, Spain	Bon Pastor	L9, L10	NA/NA/2010
Barcelona	Barelona, Spain	Camp de l’Arpa	L5	NA/NA/1970
Barcelona	Barelona, Spain	Can Boixeres	L5	NA/NA/1976
Barcelona	Barelona, Spain	Can Cuiàs	L11	NA/NA/2003
Barcelona	Barelona, Spain	Can Peixauet	L9	NA/NA/2009
Barcelona	L’Hospitalet de Llobregat, Spain	Can Serra	L1	NA/NA/1987
Barcelona	Barelona, Spain	Can Tries - Gornal	L9	NA/NA/2016
Barcelona	Barelona, Spain	Can Vidalet	L5	NA/NA/1986
Barcelona	Barelona, Spain	Can Zam	L9	NA/NA/2009
Barcelona	Barelona, Spain	Canyelles Station	L3	NA/NA/2001
Barcelona	Barelona, Spain	Casa de l’Aigua	L11	NA/NA/2003
Barcelona	Barelona, Spain	Plaça Catalunya	L1, L3, L6, L7	NA/NA/1926
Barcelona	Barelona, Spain	Cèntric	L9	NA/NA/2016
Barcelona	Barelona, Spain	Ciutadella-Vila Olímpica	L4	NA/NA/1977
Barcelona	Barelona, Spain	Ciutat Meridiana	L11	NA/NA/2003
Barcelona	Barelona, Spain	Clot	L1, L2	NA/NA/1997
Barcelona	Barelona, Spain	Collblanc	L5, L9	NA/NA/1969
Barcelona	Barelona, Spain	Congrés	L5	NA/NA/1959
Barcelona	Barelona, Spain	Cornellà Centre	L5	NA/NA/1983
Barcelona	Barelona, Spain	Cornellà Riera	L8	NA/NA/1985
Barcelona	Barelona, Spain	Diagonal	L3, L5	NA/NA/1924
Barcelona	Barelona, Spain	Drassanes	L3	NA/NA/1968
Barcelona	Barelona, Spain	El Carmel	L5	NA/NA/2010
Barcelona	Barelona, Spain	El Coll - La Teixonera	L5	NA/NA/2010
Barcelona	Barelona, Spain	El Maresme-Fòrum	L4	NA/NA/2003
Barcelona	Barelona, Spain	El Prat Estació	L9	NA/NA/2016
Barcelona	Barelona, Spain	El Putxet	L7	NA/NA/1953
Barcelona	Barelona, Spain	Encants	L2	NA/NA/1997
Barcelona	Barelona, Spain	Entença	L5	NA/NA/1969
Barcelona	Barelona, Spain	Ernest Lluch	L5	NA/NA/2009
Barcelona	Barelona, Spain	Església Major	L9	NA/NA/2009
Barcelona	Barelona, Spain	Plaça Espanya	L3, L1, L8	NA/NA/1929
Barcelona	Barelona, Spain	Europa-Fira	L8, L9	NA/NA/2007
Barcelona	Barelona, Spain	Fabra i Puig	L1	NA/NA/1954
Barcelona	Barelona, Spain	Fira	L9	NA/NA/2016
Barcelona	Barelona, Spain	Florida	L1	NA/NA/1987
Barcelona	Barelona, Spain	Fondo	L1, L9	NA/NA/1992
Barcelona	Barelona, Spain	Fontana	L3	NA/NA/1924
Barcelona	Barelona, Spain	Gavarra	L5	NA/NA/1983
Barcelona	Barelona, Spain	Girona Station	L4	NA/NA/1973
Barcelona	Barelona, Spain	Glòries	L1	NA/NA/1951
