"city"	"geo_location"	"location"	"station"	"line"	"opened_month"	"opened_day"	"opened_year"	"lon"	"lat"
"1"	"Paris"	"Abbesses, Paris, France"	"Paris, France"	"Abbesses"	"12"	10	31	1912	2.338559	48.884304
"2"	"Paris"	"Alésia, Paris, France"	"Paris, France"	"Alésia"	"4"	10	30	1909	2.327058	48.828198
"3"	"Paris"	"Alexandre Dumas, Paris, France"	"Paris, France"	"Alexandre Dumas"	"2"	1	31	1903	2.3944193	48.8563262
"4"	"Paris"	"Alma – Marceau, Paris, France"	"Paris, France"	"Alma – Marceau"	"9"	5	27	1923	2.3522219	48.856614
"5"	"Paris"	"Anatole France, Levallois-Perret, France"	"Levallois-Perret, France"	"Anatole France"	"3"	9	24	1937	2.284904	48.892226
"6"	"Paris"	"Anvers, Paris, France"	"Paris, France"	"Anvers"	"2"	10	7	1902	2.344253	48.882848
"7"	"Paris"	"Argentine, Paris, France"	"Paris, France"	"Argentine"	"1"	9	1	1900	2.2893645	48.8757746
"8"	"Paris"	"Arts et Métiers, Paris, France"	"Paris, France"	"Arts et Métiers"	"3, 11"	10	19	1904	2.3572703	48.8666646
"9"	"Paris"	"Asnières – Gennevilliers – Les Courtilles, Asnières-sur-Seine, France"	"Asnières-sur-Seine, France"	"Asnières – Gennevilliers – Les Courtilles"	"13"	6	14	2008	2.2839203	48.9305197
"10"	"Paris"	"Assemblée Nationale, Paris, France"	"Paris, France"	"Assemblée Nationale"	"12"	11	5	1910	2.3211948	48.8602984
"11"	"Paris"	"Aubervilliers – Pantin – Quatre Chemins, Aubervilliers, France"	"Aubervilliers, France"	"Aubervilliers – Pantin – Quatre Chemins"	"7"	10	4	1979	2.384049	48.912259
"12"	"Paris"	"Avenue Émile Zola, Paris, France"	"Paris, France"	"Avenue Émile Zola"	"10"	7	13	1913	2.294928	48.846995
"13"	"Paris"	"Avron, Paris, France"	"Paris, France"	"Avron"	"2"	4	2	1903	2.398311	48.851307
"14"	"Paris"	"Balard, Paris, France"	"Paris, France"	"Balard"	"8"	7	27	1937	2.2806102	48.8392565
"15"	"Paris"	"Barbès – Rochechouart, Paris, France"	"Paris, France"	"Barbès – Rochechouart"	"2, 4"	3	26	1903	2.349508	48.88376
"16"	"Paris"	"Basilique de Saint-Denis, Saint-Denis, France"	"Saint-Denis, France"	"Basilique de Saint-Denis"	"13"	6	20	1976	2.357443	48.936181
"17"	"Paris"	"Bastille, Paris, France"	"Paris, France"	"Bastille"	"1, 5, 8"	7	19	1900	2.3695104	48.8530243
"18"	"Paris"	"Bel-Air, Paris, France"	"Paris, France"	"Bel-Air"	"6"	3	1	1909	2.4053177	48.8418326
"19"	"Paris"	"Belleville, Paris, France"	"Paris, France"	"Belleville"	"2, 11"	1	1	1903	2.389461	48.8728179
"20"	"Paris"	"Bérault, Vincennes, France"	"Vincennes, France"	"Bérault"	"1"	3	24	1934	2.42944	48.845443
"21"	"Paris"	"Bercy, Paris, France"	"Paris, France"	"Bercy"	"6, 14"	3	1	1909	2.3856832	48.835455
"22"	"Paris"	"Bibliothèque François Mitterrand, Paris, France"	"Paris, France"	"Bibliothèque François Mitterrand"	"14"	10	15	1998	2.376751	48.829824
"23"	"Paris"	"Billancourt, Boulogne-Billancourt, France"	"Boulogne-Billancourt, France"	"Billancourt"	"9"	2	3	1934	2.2384569	48.8322027
"24"	"Paris"	"Bir-Hakeim, Paris, France"	"Paris, France"	"Bir-Hakeim"	"6"	4	24	1906	2.2871276	48.8562697
"25"	"Paris"	"Blanche, Paris, France"	"Paris, France"	"Blanche"	"2"	10	21	1902	2.333144	48.883646
"26"	"Paris"	"Bobigny – Pablo Picasso, Bobigny, France"	"Bobigny, France"	"Bobigny – Pablo Picasso"	"5"	4	25	1985	2.449361	48.90677
"27"	"Paris"	"Boissière, Paris, France"	"Paris, France"	"Boissière"	"6"	10	2	1900	2.290121	48.86685
"28"	"Paris"	"Bolivar, Paris, France"	"Paris, France"	"Bolivar"	"7bis"	7	18	1911	2.383018	48.8754729
"29"	"Paris"	"Bonne Nouvelle, Paris, France"	"Paris, France"	"Bonne Nouvelle"	"8, 9"	5	5	1931	2.3496033	48.8674501
"30"	"Paris"	"Botzaris, Paris, France"	"Paris, France"	"Botzaris"	"7bis"	1	18	1911	2.38906	48.879532
"31"	"Paris"	"Boulogne – Jean Jaurès, Boulogne-Billancourt, France"	"Boulogne-Billancourt, France"	"Boulogne – Jean Jaurès"	"10"	10	3	1980	2.238786	48.841973
"32"	"Paris"	"Boulogne – Pont de Saint-Cloud, Boulogne-Billancourt, France"	"Boulogne-Billancourt, France"	"Boulogne – Pont de Saint-Cloud"	"10"	10	2	1981	2.228449	48.840882
"33"	"Paris"	"Boucicaut, Paris, France"	"Paris, France"	"Boucicaut"	"8"	7	27	1937	2.287789	48.841087
"34"	"Paris"	"Bourse, Paris, France"	"Paris, France"	"Bourse"	"3"	10	19	1904	2.3406922	48.8689707
"35"	"Paris"	"Bréguet – Sabin, Paris, France"	"Paris, France"	"Bréguet – Sabin"	"5"	12	31	1906	2.370558	48.856725
"36"	"Paris"	"Brochant, Paris, France"	"Paris, France"	"Brochant"	"13"	1	20	1912	2.320138	48.890633
"37"	"Paris"	"Buttes Chaumont, Paris, France"	"Paris, France"	"Buttes Chaumont"	"7bis"	2	13	1912	2.3827609	48.8809496
"38"	"Paris"	"Buzenval, Paris, France"	"Paris, France"	"Buzenval"	"9"	12	10	1933	2.401347	48.851757
"39"	"Paris"	"Cadet, Paris, France"	"Paris, France"	"Cadet"	"7"	11	5	1910	2.344422	48.876034
"40"	"Paris"	"Cambronne, Paris, France"	"Paris, France"	"Cambronne"	"6"	4	24	1906	2.302861	48.847541
"41"	"Paris"	"Campo Formio, Paris, France"	"Paris, France"	"Campo Formio"	"5"	6	2	1906	2.358606	48.83566
"42"	"Paris"	"Cardinal Lemoine, Paris, France"	"Paris, France"	"Cardinal Lemoine"	"10"	4	26	1931	2.351576	48.846633
"43"	"Paris"	"Carrefour Pleyel, Saint-Denis, France"	"Saint-Denis, France"	"Carrefour Pleyel"	"13"	6	30	1952	2.343028	48.919626
"44"	"Paris"	"Censier – Daubenton, Paris, France"	"Paris, France"	"Censier – Daubenton"	"7"	2	15	1930	2.3515488	48.8404351
"45"	"Paris"	"Champs-Élysées – Clemenceau, Paris, France"	"Paris, France"	"Champs-Élysées – Clemenceau"	"1, 13"	7	19	1900	2.31331	48.8675022
"46"	"Paris"	"Chardon Lagache, Paris, France"	"Paris, France"	"Chardon Lagache"	"10"	9	30	1913	2.265556	48.843852
"47"	"Paris"	"Charenton – Écoles, Charenton-le-Pont, France"	"Charenton-le-Pont, France"	"Charenton – Écoles"	"8"	10	5	1942	2.413481	48.821649
"48"	"Paris"	"Charles de Gaulle – Étoile, Paris, France"	"Paris, France"	"Charles de Gaulle – Étoile"	"1, 2, 6"	9	1	1900	2.2949	48.873934
"49"	"Paris"	"Charles Michels, Paris, France"	"Paris, France"	"Charles Michels"	"10"	7	13	1913	2.286594	48.846566
"50"	"Paris"	"Charonne, Paris, France"	"Paris, France"	"Charonne"	"9"	12	10	1933	2.4031934	48.8525023
"51"	"Paris"	"Château d’Eau, Paris, France"	"Paris, France"	"Château d’Eau"	"4"	4	21	1908	2.355908	48.8724895
"52"	"Paris"	"Château de Vincennes, Paris, France"	"Paris, France"	"Château de Vincennes"	"1"	3	24	1934	2.438748	48.844582
"53"	"Paris"	"Château-Landon, Paris, France"	"Paris, France"	"Château-Landon"	"7"	11	5	1910	2.362072	48.878459
"54"	"Paris"	"Château Rouge, Paris, France"	"Paris, France"	"Château Rouge"	"4"	4	21	1908	2.349457	48.887159
"55"	"Paris"	"Châtelet, Paris, France"	"Paris, France"	"Châtelet"	"1, 4, 7, 11, 14"	8	6	1900	2.3473009	48.8586927
"56"	"Paris"	"Châtillon – Montrouge, Châtillon, France"	"Châtillon, France"	"Châtillon – Montrouge"	"13"	11	9	1976	2.2823166	48.8016465
"57"	"Paris"	"Chaussée d’Antin – La Fayette, Paris, France"	"Paris, France"	"Chaussée d’Antin – La Fayette"	"7, 9"	11	5	1910	2.333235	48.872928
"58"	"Paris"	"Chemin Vert, Paris, France"	"Paris, France"	"Chemin Vert"	"8"	5	5	1931	2.36794	48.857621
"59"	"Paris"	"Chevaleret, Paris, France"	"Paris, France"	"Chevaleret"	"6"	3	1	1909	2.368083	48.834941
"60"	"Paris"	"Cité, Paris, France"	"Paris, France"	"Cité"	"4"	1	9	1910	2.3477436	48.85466
"61"	"Paris"	"Cluny – La Sorbonne, Paris, France"	"Paris, France"	"Cluny – La Sorbonne"	"10"	2	15	1930	2.344586	48.851023
"62"	"Paris"	"Colonel Fabien, Paris, France"	"Paris, France"	"Colonel Fabien"	"2"	1	31	1903	2.3706161	48.8776099
"63"	"Paris"	"Commerce, Paris, France"	"Paris, France"	"Commerce"	"8"	7	27	1937	2.293769	48.844668
"64"	"Paris"	"Concorde, Paris, France"	"Paris, France"	"Concorde"	"1, 8, 12"	8	13	1900	2.325043	48.8659329
"65"	"Paris"	"Convention, Paris, France"	"Paris, France"	"Convention"	"12"	11	5	1910	2.296405	48.837238
"66"	"Paris"	"Corentin Cariou, Paris, France"	"Paris, France"	"Corentin Cariou"	"7"	11	5	1910	2.382408	48.894747
"67"	"Paris"	"Corentin Celton, Issy-les-Moulineaux, France"	"Issy-les-Moulineaux, France"	"Corentin Celton"	"12"	3	24	1934	2.279373	48.827023
"68"	"Paris"	"Corvisart, Paris, France"	"Paris, France"	"Corvisart"	"6"	4	24	1906	2.350505	48.829866
"69"	"Paris"	"Cour Saint-Émilion, Paris, France"	"Paris, France"	"Cour Saint-Émilion"	"14"	10	15	1998	2.386401	48.832986
"70"	"Paris"	"Courcelles, Paris, France"	"Paris, France"	"Courcelles"	"2"	10	7	1902	2.303304	48.879268
"71"	"Paris"	"Couronnes, Paris, France"	"Paris, France"	"Couronnes"	"2"	1	31	1903	2.380155	48.869274
"72"	"Paris"	"Créteil – L’Échat, Créteil, France"	"Créteil, France"	"Créteil – L’Échat"	"8"	9	24	1973	2.4334892	48.7726181
"73"	"Paris"	"Créteil – Préfecture, Créteil, France"	"Créteil, France"	"Créteil – Préfecture"	"8"	9	9	1974	2.459319	48.779777
"74"	"Paris"	"Créteil – Université, Créteil, France"	"Créteil, France"	"Créteil – Université"	"8"	9	9	1974	2.45059	48.789842
"75"	"Paris"	"Crimée, Paris, France"	"Paris, France"	"Crimée"	"7"	11	5	1910	2.377233	48.891089
"76"	"Paris"	"Croix de Chavaux, Montreuil, France"	"Montreuil, France"	"Croix de Chavaux"	"9"	10	14	1937	2.435764	48.858055
"77"	"Paris"	"Danube, Paris, France"	"Paris, France"	"Danube"	"7bis"	1	18	1911	2.3953673	48.8847674
"78"	"Paris"	"Daumesnil, Paris, France"	"Paris, France"	"Daumesnil"	"6, 8"	3	1	1909	2.3964031	48.83944
"79"	"Paris"	"Denfert-Rochereau, Paris, France"	"Paris, France"	"Denfert-Rochereau"	"4, 6"	4	24	1906	2.3325223	48.8338632
"80"	"Paris"	"Dugommier, Paris, France"	"Paris, France"	"Dugommier"	"6"	3	1	1909	2.389965	48.839049
"81"	"Paris"	"Dupleix, Paris, France"	"Paris, France"	"Dupleix"	"6"	4	24	1906	2.293557	48.850432
"82"	"Paris"	"Duroc, Paris, France"	"Paris, France"	"Duroc"	"10, 13"	12	30	1923	2.316479	48.846834
"83"	"Paris"	"École Militaire, Paris, France"	"Paris, France"	"École Militaire"	"8"	7	13	1913	2.3036513	48.8524005
"84"	"Paris"	"École Vétérinaire de Maisons-Alfort, Maisons-Alfort, France"	"Maisons-Alfort, France"	"École Vétérinaire de Maisons-Alfort"	"8"	9	19	1970	2.4223068	48.8149257
"85"	"Paris"	"Edgar Quinet, Paris, France"	"Paris, France"	"Edgar Quinet"	"6"	4	24	1906	2.325464	48.840974
"86"	"Paris"	"Église d’Auteuil, Paris, France"	"Paris, France"	"Église d’Auteuil"	"10"	9	30	1913	2.269396	48.847032
"87"	"Paris"	"Église de Pantin, Pantin, France"	"Pantin, France"	"Église de Pantin"	"5"	10	12	1942	2.412337	48.893024
"88"	"Paris"	"Esplanade de La Défense, Puteaux, France"	"Puteaux, France"	"Esplanade de La Défense"	"1"	4	1	1992	2.250164	48.888004
"89"	"Paris"	"Étienne Marcel, Paris, France"	"Paris, France"	"Étienne Marcel"	"4"	4	21	1908	2.3489432	48.8637323
"90"	"Paris"	"Europe, Paris, France"	"Paris, France"	"Europe"	"3"	10	19	1904	2.3522219	48.856614
"91"	"Paris"	"Exelmans, Paris, France"	"Paris, France"	"Exelmans"	"9"	11	8	1922	2.2600545	48.8429646
"92"	"Paris"	"Faidherbe – Chaligny, Paris, France"	"Paris, France"	"Faidherbe – Chaligny"	"8"	5	5	1931	2.3522219	48.856614
"93"	"Paris"	"Falguière, Paris, France"	"Paris, France"	"Falguière"	"12"	11	5	1910	2.3113201	48.8373882
"94"	"Paris"	"Félix Faure, Paris, France"	"Paris, France"	"Félix Faure"	"8"	7	27	1937	2.291699	48.842744
